1,?,Emeritus,1
2,?,Associate,1
3,?,Admin,1
21,?,?,1
22,?,Professor,1
57,?,Admin,1
8,G1,Associate,2
37,G1,Postdoc,2
40,G1,PhD,2
41,G1,PhD,2
42,G1,PhD,2
45,G1,PhD,2
19,G2,PhD,3
24,G2,Phd (visiting),3
26,G2,Prof,3
28,G2,PhD,3
29,G2,Postdoc,3
30,G2,PhD,3
31,G2,Postdoc,3
32,G2,Postdoc,3
33,G2,PhD,3
34,G2,PhD,3
35,G2,PhD,3
36,G2,PhD,3
44,G2/G3,Admin,4
7,G2/G6,Admin,7
27,G3,Postdoc,4
38,G3,Postdoc,4
39,G3,PhD,4
53,G3,PhD,4
54,G3,PhD,4
55,G3,PhD,4
59,G3,PhD,4
61,G3,PhD,4
9,G4,Associate,5
18,G4,Admin,5
25,G4,Postdoc,5
43,G4,PhD,5
51,G4,Admin,5
56,G4,Postdoc,5
58,G4,PhD,5
5,G5,Postdoc,6
12,G5,Postdoc,6
13,G5,Professor,6
20,G5,PhD,6
4,G6,PhD,7
6,G6,Associate,7
10,G6,PhD,7
11,G6,Associate,7
14,G6,PhD,7
15,G6,PhD,7
16,G6,PhD,7
17,G7,PhD,8
23,G7,Postdoc,8
46,G7,Professor,8
47,G7,PhD,8
48,G7,Postdoc,8
49,G7,PhD,8
50,G7,PhD,8
52,G7,PhD,8
60,G8,Assistant,9
,,,label group
